Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
2.0,0.5567364041979644,0.550949125010085,0.5480947939886437,0.542530048639436,0.5297993837912094,0.5186462405348808,0.4525265260155342,0.6580788689536262,0.700171189114199,0.46705561482000074,0.5739471305079014,0.5280912074827584,0.495938781117197,0.8953347157405314,0.12344927069801453,0.3355105454227579,0.26329486823733406,0.5939930638907023,0.5771393487896899,0.7671053552741847,0.8258403623682201,0.6341915959557918,0.45027553739900533,0.6856286521537732,0.32849238900748756,0.5622178702839503,0.27889467900105624,0.6529729591551918,0.5213101221401206,0.4847682503075247,0.43022987912253274,0.7420143853863566,0.5090923739555305
2.0,0.5685666434811512,0.1716001885949427,0.5919390354899258,0.6023677035207433,0.6022248442469585,0.7877083644864259,0.6647272669260683,0.39207693760885187,0.4674584153190375,0.6455034192369594,0.17335435004317393,0.6258109289371105,0.6072437537489938,0.2167535557160192,0.1449659129129747,0.36620400331635106,0.3934439892263959,0.5413581457103487,0.4295346478155145,0.9342862366979472,0.14423673484018945,0.31641879630974085,0.25965019242828835,0.6329795373629689,0.3106528284793128,0.4933979613136439,0.2810608497247434,0.2590356898509221,0.21963068475618722,0.6113900769033714,0.24627062793984397,0.20848412279594122,0.42537224096455406
2.0,0.6400529516999297,0.40880418431267557,0.6171436263189226,0.24067174135146055,0.6481331878495689,0.4718367930283674,0.8290297531384095,0.5331362331551154,0.5984605881399615,0.3783290066473891,0.41090427824059167,0.4315732860506476,0.4354824324720937,0.1518793190276401,0.3446430175899864,0.4800760338295249,0.3323886832406057,0.5230142787171232,0.458244519712103,0.39147116256537395,0.5004970122733459,0.44920366219858865,0.45527397584867757,0.7475708487787893,0.4222049120425739,0.5651036657272414,0.30264349989474604,0.5455536281335348,0.4542700003801675,0.44860741455507736,0.5529265076490082,0.09119441796139917,0.5887868115215122
3.0,0.4887545956133655,0.5399489380732009,0.49893697309475327,0.5877635334270153,0.4758796020493138,0.4762001887039259,0.5105560477932043,0.44754364390089546,0.49519185910841707,0.47145837801677354,0.49883735952587543,0.3851740909110795,0.5024255589844772,0.6497079667442136,0.39749076987077586,0.5410339055338101,0.5158218430933068,0.4471676109011146,0.5321327612115809,0.5649885391996882,0.5148539027884982,0.5416101594408413,0.5331626316945436,0.6430422447772403,0.5283174850475892,0.49174593549042694,0.4799802694453166,0.42734885149999463,0.39307560692610327,0.49575543217139134,0.48781094972475414,0.581036197074339,0.5529642101545468
2.0,0.30215010840586864,0.3888506026694358,0.5444028391350804,0.5790198061285745,0.5737058821221876,0.5666252699730465,0.6321692488324493,0.451132906008986,0.7576866221913122,0.4235083590308683,0.44249380942730715,0.7327187761726189,0.6623135251117442,0.6959775990873281,0.12623306780759466,0.7596677391416966,0.6504156543541518,0.7683431911545737,0.22290509955524349,0.8103738021252146,0.2156548246679566,0.5794934815659759,0.2804715058200702,0.7826387682573287,0.6704124558291206,0.5534946255968427,0.4236124503363247,0.25414453944347243,0.6278054630712261,0.48301035020516725,0.6529765673754352,0.8432873724272653,0.761970434580545
1.0,0.730875085920191,0.22521777177522442,0.4069301418481316,0.7026678798927818,0.33275081434460313,0.4972455603273177,0.10495752115748985,0.28731429168431727,0.18766388411111584,0.6825213827999728,0.3349887249462025,0.396386107176777,0.7569333486926089,0.6987361543027405,0.06258937142674376,0.2788968842683786,0.5948894997871055,0.5268143312975037,0.32912067604479334,0.8575086246593611,0.599973101498746,0.5031964411079928,0.5401241143073748,0.6886874234821062,0.36121686139545833,0.4620424487555755,0.2806976820074445,0.28519492115784906,0.7715248708365208,0.6524617231924033,0.47443223640350746,0.240348036778445,0.3773220095146578
3.0,0.4956793392240389,0.5346867141147206,0.5037441959687584,0.5751262257677758,0.465755668024178,0.4781380282226066,0.28956178069202965,0.4185418690673958,0.4925934537832961,0.48164618178855817,0.48773071202528673,0.3927275122920466,0.5061666060016791,0.26362357793300817,0.6307133693652103,0.5178557544579518,0.4828491859997165,0.44398831547838824,0.507117027766082,0.42232395569992087,0.4799311830565509,0.5474650707334883,0.5344063277220009,0.6185551611306037,0.5120242474034552,0.49364494148111904,0.40124470266520956,0.44779536585863977,0.4062796717663378,0.4869928556958479,0.508968757002327,0.6516741279724568,0.5495734760980923
1.0,0.4507620627713628,0.5130863412930251,0.3881373465474909,0.3369440113128661,0.5240497354668756,0.45863887181786883,0.46399900047275844,0.41641974425133466,0.49138272253204096,0.5690188532846039,0.43414674287308236,0.4849742999180796,0.45032742204232623,0.6962491626422499,0.41574816869602516,0.506014373305623,0.4088283547109207,0.4038756099490157,0.531461010667597,0.41946115461595057,0.7597908240634278,0.5123900783440888,0.5123245936482567,0.70563931015352,0.36786101213155814,0.5424216573127448,0.5517197704213564,0.5274733236661007,0.4273589148015342,0.49462685829823827,0.3773382837485896,0.09455769749802169,0.5699338986574397
1.0,0.582111797238379,0.5965777094086763,0.4070140839737919,0.5727858054765904,0.39950934161474966,0.4806394636013326,0.859780026942516,0.653563954445636,0.4168759229434164,0.6766099305607822,0.4049031680288056,0.6453166425723985,0.6429173714781481,0.7807245175846441,0.6114610156471717,0.6468385620972065,0.4052861195263239,0.5935886039671617,0.5855478312555091,0.16851927870744518,0.404168653910333,0.35776431751631294,0.6240632870442885,0.484701328549257,0.4637168200059652,0.5635452347787726,0.43078848602680986,0.33119011677871574,0.6111561196811444,0.42153800576489553,0.4749614529960792,0.25033229369804544,0.39728886610232267
2.0,0.6738095370674617,0.6195065524415945,0.6906938395652076,0.8023795471531485,0.6212989486975962,0.43164477446260435,0.18592542556692107,0.44809172245617906,0.4354161930821426,0.3770374203470875,0.31852142283672447,0.5961691619471835,0.32854483384069183,0.7500447203086766,0.19248377412624992,0.34218122449318483,0.30825714078113614,0.5354419896916838,0.3225470371449701,0.46557368951006556,0.5309276122819496,0.6471615409783316,0.5190257147108222,0.34825741794052334,0.34303819878261366,0.41435113181799926,0.3753677549980071,0.42289688327141634,0.4951970915291548,0.568394610106814,0.5865703107816223,0.3099183974844083,0.48714111273844013
